fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Aug,15,KARNATAKA,1506,BIDAR,2966710,345.636062286691,34,418,2756.74482354501,14878,0,45544,3484083,821709,78970,630483,53058,315.90749,15114.899601545,101072,156024,153547,303088,107,253612,475703,60422,12042.247288,1898623,61,38.2,32.57,99.77,NA
2024-2025,Aug,15,KARNATAKA,1523,RAICHUR,7372385,268.381214216922,36,995,2039.07331292,13573,0,34801,8094015,1429457,123969,1925740,153148,447.46327,24209.3523188198,220970,434248,280655,653176,405,370598,832499,48374,21722.8157358998,4249826,54,19.6,65.23,99.88,NA
2024-2025,Aug,15,KARNATAKA,1524,SHIVAMOGGA,1715816,325.309118273422,23,379,809.510660801,6610,0,16572,1385214,323445,83279,75567,18530,236.82995,5552.568060401,59966,100282,144628,370985,69,247877,569376,23182,4506.2274496,770037,76,32.59,49,99.99,NA
2024-2025,Aug,15,KARNATAKA,1530,Yadgir,2354527,332.097384811907,23,445,390.250747307,17339,0,25507,1777050,337478,65088,212460,35889,0,6291.78732410699,76367,116177,152694,303233,33,272779,541602,42846,5901.53657679999,971058,79,41.45,52.25,99.89,NA
2024-2025,Aug,15,KARNATAKA,1504,BELAGAVI,6923185,331.542835896123,29,2093,3117.56774598,23030,0,63049,5847150,668250,101603,577236,81325,709.76399,23213.1386650801,198214,286010,403354,882475,520,823959,1683646,86079,19385.8069291001,3501098,53,19.07,41.84,100.02,NA
2024-2025,Aug,15,KARNATAKA,1518,KODAGU,270146,334.615249594595,30,67,147.144180042,2718,1,3914,222000,19961,7036,9747,3733,75.14455,965.134584142001,7167,11874,28015,67104,11,87813,191394,6632,742.845854100001,114408,79,52.01,18.44,99.96,NA
2024-2025,Aug,15,KARNATAKA,1527,UTTARA KANNADA,889238,343.830222508538,26,94,628.070192997,5318,0,22552,811070,47646,14612,31415,7952,193.0934,3609.867378697,30833,51031,86832,218165,31,204120,451866,27870,2788.7037857,442723,78,30.44,29.91,100,NA
2024-2025,May,15,KARNATAKA,1517,HAVERI,789930,320.22848066717,18,222,1180.320628616,8803,0,32295,692837,94265,53048,97729,42903,0,3398.982027216,37328,66212,150297,367120,1,270922,617374,41098,2218.6613986,339217,67,31.74,47.74,99.93,NA
2024-2025,May,15,KARNATAKA,1520,KOPPAL,2178765,295.213550519118,15,1535,720.711013102,7778,1,28239,1358852,228876,94774,205237,78661,34.71448,4766.94072860204,89956,173416,218374,559647,0,322092,835700,36017,4011.51523550004,724724,56,16.87,75.3,99.79,NA
2024-2025,May,15,KARNATAKA,1523,RAICHUR,2652187,256.220147014878,18,574,1104.074267363,2138,0,43083,2436284,410890,121933,626882,150599,108.76812,7455.09283386296,128596,244683,275717,641930,1,364694,820160,45221,6242.25044649996,1289798,54,11.46,77.57,99.81,NA
2024-2025,May,15,KARNATAKA,1526,UDUPI,273924,338.628067509176,20,21,161.637157997,2081,1,14202,141403,5935,5885,5103,5989,27.07826,667.545664297,6794,11007,43401,103586,6,122851,249549,16283,478.8302463,91125,89,71.12,6.3,99.63,NA
2024-2025,May,15,KARNATAKA,1529,RAMANAGARA,592865,361.072167346512,16,46,1321.154745961,9103,1,35290,239025,35696,50197,3514,5165,12.185,2196.392493961,14564,22007,139508,311975,0,200391,430190,44393,863.052748,128199,82,23.25,23.38,99.72,NA
2024-2025,May,15,KARNATAKA,1510,CHITRADURGA,616291,380.549758441037,13,99,2108.888043127,10227,1,32028,458356,92030,86648,118506,84603,0,3853.160693927,32925,50968,168025,406125,0,330491,777798,42255,1744.2726508,248555,58,24.47,42.52,100.23,NA
2024-2025,May,15,KARNATAKA,1513,DHARWAR,442274,338.00091076346,14,75,617.303601292,3873,0,35386,252744,21484,19030,19618,14650,75.03389,1546.614513192,17120,28100,81678,214751,0,169340,403954,39259,854.2770219,120592,74,34.35,34.07,99.77,NA
2024-2025,May,15,KARNATAKA,1520,KOPPAL,2178765,302.97336074351,15,1634,720.711013102,7875,0,28326,1461623,246827,94916,222058,78791,34.71448,5183.75381760211,93639,181046,218507,560349,0,322120,836122,36201,4428.32832450011,779023,56,16.03,76.33,99.71,NA
2024-2025,May,15,KARNATAKA,1521,MANDYA,292100,325.95848434507,12,74,499.87003929,2621,1,30541,176973,21136,38505,1190,2372,85.47833,1162.20687779,14028,20190,136488,334064,0,347102,753490,33162,576.8585085,104946,70,38.19,32.04,99.99,NA
2024-2025,May,15,KARNATAKA,1522,MYSURU,317805,327.831154897934,18,40,608.677228762999,6848,1,36663,305343,48052,68649,37767,40634,94.30353,1703.990242063,16568,28299,138446,354914,0,344632,843216,43511,1001.0094833,162724,80,23.72,27.85,99.85,NA
2024-2025,May,15,KARNATAKA,1523,RAICHUR,2652187,256.178492719548,19,607,1104.074267363,2253,0,43053,2607325,445736,121995,673595,150736,108.76812,7892.24827266295,135016,257089,275856,642310,1,364770,820403,45306,6679.40588529995,1380456,54,11.51,76.67,99.73,NA
2024-2025,May,15,KARNATAKA,1528,CHIKKABALLAPURA,446223,306.99209796221,15,438,985.762680461,1565,2,29672,186133,37975,75541,23794,46123,10.5623,1567.738582161,11809,18960,130157,327405,0,222258,535963,31237,571.4136017,99433,77,41.22,22.81,99.78,NA
2024-2025,May,15,KARNATAKA,1501,BAGALKOTE,992546,316.625969542108,14,912,656.472518996,3483,0,19415,634975,97696,57179,49266,25260,63.65741,2730.625679096,45173,72284,149455,327783,1,271229,548390,22898,2010.4957501,359221,55,37.21,44.07,99.66,NA
2024-2025,May,15,KARNATAKA,1521,MANDYA,292100,325.267802349503,12,75,499.87003929,2664,1,30519,186167,22079,38508,1223,2372,85.47833,1190.88967889,14750,21207,136517,334137,0,347105,753501,33183,605.5413096,110921,70,39.44,31.46,100,NA
2024-2025,May,15,KARNATAKA,1502,BENGALURU,11364,315.846223224352,15,6,12.286139673,131,25,2267,4435,1224,2584,7,263,0,26.293919673,283,436,5614,12837,1,62395,139943,2398,14.00778,2684,85,30.37,8.67,99.49,NA
2024-2025,May,15,KARNATAKA,1504,BELAGAVI,2874902,319.864117132981,15,1352,1542.464119828,3866,0,76559,1910905,210764,98905,181591,79816,148.86561,7803.62913732799,125565,171709,395512,863884,6,817949,1670991,80425,6112.29940749999,1183734,52,17.11,42.14,99.78,NA
2024-2025,May,15,KARNATAKA,1507,VIJAYPURA,708296,343.853990271776,12,449,1004.946085376,3219,2,34201,364712,71234,65042,6967,5695,80.82106,2339.843910376,28310,40522,149251,318902,0,345226,763904,37420,1254.076765,206642,68,42.16,34.55,99.8,NA
2024-2025,May,15,KARNATAKA,1529,RAMANAGARA,592865,365.495256744071,16,45,1321.154745961,9070,1,35311,235429,35325,50194,3514,5165,12.185,2193.821573961,14403,21752,139504,311967,0,200391,430190,44381,860.481828,126178,82,23.4,23.1,99.72,NA
2024-2025,May,15,KARNATAKA,1505,BALLARI,2576306,265.506664932964,25,1816,144.634478735,1047,0,13490,2280284,445552,69191,740779,96936,44.72811,6243.66858813499,89368,185950,113777,329151,5,168708,478069,14537,6054.30599939999,1234950,39,25.24,46.72,99.81,NA
2024-2025,May,15,KARNATAKA,1513,DHARWAR,442274,327.054968809026,16,87,617.303601292,4266,0,35389,339361,27427,19087,25312,14699,75.03389,1802.234503992,20322,33704,81860,215281,1,169419,404221,39655,1109.8970127,161656,74,35.38,35.73,99.79,NA
2024-2025,May,15,KARNATAKA,1515,KALABURAGI,2051050,286.519906887877,13,366,968.155242886001,6094,1,40014,1314222,348796,137443,26780,10707,31.65045,4765.313343586,96112,157900,240780,529434,0,421996,883067,46108,3765.5076507,765407,61,13.66,77.62,99.75,NA
2024-2025,May,15,KARNATAKA,1516,HASSAN,672675,343.034645347809,17,98,766.460850166999,5507,3,24487,305426,50439,66923,4158,6674,117.92067,1932.098516067,17140,29250,157769,389844,0,279543,646146,29994,1047.7169959,158366,73,38.7,26.98,99.81,NA
2024-2025,May,15,KARNATAKA,1517,HAVERI,789930,321.663131100133,22,265,1180.320628616,9855,0,31692,1038092,143694,53336,147149,43125,0,4519.47985951599,45483,81869,150839,368769,2,271004,618002,41547,3339.15923089999,505889,67,31.38,50.2,99.89,NA
2024-2025,May,15,KARNATAKA,1527,UTTARA KANNADA,398663,330.914514667069,18,54,330.792963925,1834,0,23445,357672,20086,14236,13124,7757,37.92662,1552.308146825,19225,31008,84758,212638,1,203566,450066,25279,1183.5885629,195772,77,27.95,33.83,99.8,NA
2024-2025,May,15,KARNATAKA,1503,BENGALURU RURAL,235452,348.895025920989,20,215,262.880332887,1169,0,9948,258092,38638,24405,14307,8077,33.26839,1196.618873187,12636,20154,56747,132890,3,119457,260381,11117,900.4701503,132685,63,40.06,16.24,99.8,NA
2024-2025,May,15,KARNATAKA,1505,BALLARI,2576306,264.486021688464,23,1770,144.634478735,1034,0,13256,2087838,407368,69131,692105,96837,44.72811,5711.40225423499,87336,180968,113629,328702,1,168674,477912,14290,5522.03966549999,1129004,40,24.85,47.16,99.79,NA
2024-2025,May,15,KARNATAKA,1516,HASSAN,672675,343.674685475222,17,89,766.460850166999,4481,3,25380,272252,44994,66917,3430,6675,117.92067,1820.042724867,15688,26657,157691,389706,0,279472,646077,29861,935.6612047,141013,73,39.58,25.95,99.81,NA
2024-2025,May,15,KARNATAKA,1521,MANDYA,292100,349.712225898505,12,75,499.87003929,3124,1,30311,202197,24249,38526,1353,2376,85.47833,1292.45599869,15740,22594,136543,334197,0,347115,753542,33435,707.1076294,120613,70,41.08,34.54,100.02,NA
2024-2025,May,15,KARNATAKA,1522,MYSURU,317805,348.774126753889,18,42,608.677228762999,7268,1,36445,346088,56635,68728,41659,40667,94.30353,1910.046158563,18303,31331,138575,355270,0,344740,843474,43713,1207.0653998,183544,80,24.75,28.05,99.99,NA
2024-2025,May,15,KARNATAKA,1525,TUMAKURU,608298,345.538670928917,17,157,1928.607109223,8255,0,64533,580601,80262,76557,48502,39308,82.73144,4017.539528023,33169,54467,205202,489390,4,396048,874973,72788,2006.2009788,299655,84,34.53,38.42,99.79,NA
2024-2025,Sep,15,KARNATAKA,1505,BALLARI,5137293,281.56735029482,49,2020,1140.899575969,7154,0,10323,4991544,983715,69671,1561526,97889,346.46245,15541.9202055691,100181,216761,115798,332873,738,169729,478583,17477,14054.5581796001,2704731,43,38.5,35.1,99.9,NA
2024-2025,Sep,15,KARNATAKA,1506,BIDAR,3287774,344.507025935963,37,463,4198.460299444,16937,0,46856,3932686,916665,79186,711309,53245,401.48989,18148.329767444,105093,162984,154463,304607,204,254972,477875,63793,13548.379578,2138832,60,38.93,31.13,99.76,NA
2024-2025,Sep,15,KARNATAKA,1508,CHAMARAJA NAGARA,1592006,346.835429721897,28,352,1529.266867441,12882,0,21047,1397939,441127,79296,124742,29170,203.34756,6581.162165341,48374,75520,115373,272194,69,223410,513051,33929,4848.5477379,807033,74,21.86,50.87,100.34,NA
2024-2025,Sep,15,KARNATAKA,1512,DAVANAGERE,1962721,337.584134515792,30,217,2405.400272361,10572,0,13340,1502188,389377,64642,283305,43940,321.92011,7798.46874096109,49191,83687,119477,280227,188,238497,522206,23912,5071.14835860009,806734,76,34.17,38.61,99.88,NA
2024-2025,Sep,15,KARNATAKA,1514,GADAG,2385828,330.253133235165,29,1095,1477.221021506,11591,0,12339,2531674,394979,55851,215496,25828,309.66239,10147.816119806,86456,182969,122314,310720,74,164846,393037,23930,8360.93270830003,1259535,65,15.61,72.3,99.88,NA
2024-2025,Sep,15,KARNATAKA,1527,UTTARA KANNADA,1016899,342.794072609451,27,101,1045.773775949,7552,0,21263,912636,54763,14688,36934,7982,270.57729,4444.81317844899,33142,55167,87355,219282,38,204240,451991,28815,3128.46211249999,498380,79,31.4,27.95,99.94,NA
2024-2025,Sep,15,KARNATAKA,1529,RAMANAGARA,2557035,348.046028592206,37,219,3575.72559980399,23111,1,29907,2071963,295382,50362,33851,5241,304.06155,11091.1720852039,55524,89925,140659,312748,212,201005,429558,53018,7211.38493539993,1109492,82,43.07,28.77,99.85,NA
2024-2025,Sep,15,KARNATAKA,1530,Yadgir,2813629,336.153974650081,26,478,474.650595223,18466,0,26684,2156220,408297,65415,265323,36096,0,7722.86982742298,82739,126670,153420,304988,60,273667,543624,45150,7248.21923219998,1160289,79,45.07,48.93,99.82,NA
2024-2025,Sep,15,KARNATAKA,1509,CHIKKAMAGALURU,1591131,343.838272074877,36,119,2626.969196078,11263,0,18719,1426769,206034,41592,45137,8301,427.74651,7960.493582178,39431,69997,90533,221630,210,177746,397455,29982,4905.7778761,783781,71,40.36,22.87,99.83,NA
2024-2025,Sep,15,KARNATAKA,1528,CHIKKABALLAPURA,2012507,341.907953560473,30,1560,2332.699519906,10395,0,25454,1307593,264686,76362,179195,46469,250.7229,7054.186887106,43056,72260,131399,330326,119,222738,536813,35849,4470.7644672,699003,77,43.87,24.72,99.95,NA
2024-2025,Sep,15,KARNATAKA,1530,Yadgir,2813629,335.944627174754,25,477,474.650595223,18386,0,26567,2124722,401930,65385,262052,36095,0,7612.53999662298,82382,126093,153384,304878,50,273577,543424,44953,7137.88940139998,1144311,79,44.58,49.43,99.81,NA
2024-2025,Aug,15,KARNATAKA,1501,BAGALKOTE,2766276,321.649264676422,27,1762,1584.850233131,8062,0,18708,2246494,378555,58462,191568,25828,447.14518,9257.82684513094,81550,137516,152123,334978,121,273839,555061,26770,7225.83143199994,1251715,57,33.01,50.77,99.8,NA
2024-2025,Aug,15,KARNATAKA,1504,BELAGAVI,6923185,332.046355425634,30,2156,3515.012572038,25719,0,61031,6253899,709890,101259,623515,80585,944.86447,25225.7207435382,204006,295373,402943,878949,644,823438,1679377,86750,20765.8437015002,3716476,53,19.83,40.75,100,NA
2024-2025,Aug,15,KARNATAKA,1506,BIDAR,2966710,344.524247677285,36,456,3001.062456421,16532,0,46319,3814932,892229,79153,689374,53205,393.75224,16538.180468821,103962,161035,154188,304192,154,254573,477239,62851,13143.3657724,2076416,60,38.73,31.68,99.73,NA
2024-2025,Aug,15,KARNATAKA,1523,RAICHUR,7372385,271.488538276942,38,1019,2372.55774809601,15107,0,34345,8724888,1535648,124123,2078764,153321,504.27552,26563.9041655963,225517,443043,281429,654267,501,371345,833601,49452,23687.0708975003,4572515,55,21.44,63.48,99.83,NA
2024-2025,Aug,15,KARNATAKA,1524,SHIVAMOGGA,1715816,324.612305616191,23,390,954.083882977,8320,0,15305,1468718,340426,83312,80136,18548,295.50556,6017.228805777,61998,104091,144828,371240,78,247914,569225,23625,4767.6393628,811737,76,34.02,47.11,99.95,NA
2024-2025,Aug,15,KARNATAKA,1528,CHIKKABALLAPURA,1708529,339.019161292183,29,1521,1669.972498355,9884,0,25840,1248492,252128,76344,170284,46482,250.7229,6153.322505555,41923,70122,131347,330355,93,222739,536997,35724,4232.6271072,667354,77,43.72,24.78,99.93,NA
2024-2025,Aug,15,KARNATAKA,1529,RAMANAGARA,2132473,347.449673939577,36,206,3271.398844673,20704,1,31524,1933476,277124,50409,31950,5243,304.06155,10293.316452373,53329,86097,140635,312984,179,201034,429919,52228,6717.85605769997,1034632,82,42.13,29.04,99.78,NA
2024-2025,Aug,15,KARNATAKA,1505,BALLARI,5013458,280.690455562791,49,2014,888.038119991,3203,0,14172,4939824,975233,69722,1543183,97912,298.86786,15052.5204695911,100002,216285,115751,332957,676,169649,478610,17375,13865.6144896001,2678568,43,37.96,35.48,99.87,NA
2024-2025,Aug,15,KARNATAKA,1508,CHAMARAJA NAGARA,1370352,346.585680606153,28,340,1059.645658593,10951,0,23024,1326663,418427,79192,118265,29099,199.34756,5857.01720649301,47085,73151,115141,271708,57,223360,513010,33975,4598.02398790001,769546,74,21.89,51,100.33,NA
2024-2025,Aug,15,KARNATAKA,1511,DAKSHINA KANNADA,712259,340.843117279791,37,39,357.030593879,7015,0,12874,578838,30410,10436,33842,10459,188.23935,2518.199427079,15388,25986,64469,150167,118,169923,357227,19889,1972.9294832,304512,90,71.77,3.11,99.74,NA
2024-2025,Aug,15,KARNATAKA,1520,KOPPAL,5236020,305.762630359159,32,3157,1172.405257647,13938,0,26457,5680479,999402,98063,843659,80396,534.30882,19075.4960850467,175236,362206,223655,576365,202,325010,845316,40395,17368.7820073997,3004460,56,28.08,61.36,99.8,NA
2024-2025,Aug,15,KARNATAKA,1523,RAICHUR,7372385,271.564115982959,38,1019,2372.55774809601,14968,0,34460,8710573,1534500,124131,2076575,153321,504.27552,26531.6238325963,225490,442969,281429,654264,500,371308,833522,49428,23654.7905645003,4565396,55,21.44,63.46,99.81,NA
2024-2025,Aug,15,KARNATAKA,1524,SHIVAMOGGA,1715816,323.859545059797,23,389,954.083882977,8300,0,15293,1463533,339506,83319,79500,18549,295.50556,5989.380758577,61894,103886,144821,371251,77,247911,569247,23593,4739.7913156,809269,76,33.85,47.23,99.93,NA
2024-2025,Aug,15,KARNATAKA,1525,TUMAKURU,2259531,344.712184404697,31,382,4147.988075865,35385,0,48033,2458766,342354,78473,206478,40288,496.80204,13120.456103865,77527,132735,209572,500032,323,398114,879744,83418,8475.665988,1266253,84,39.84,36.76,99.74,NA
2024-2025,Aug,15,KARNATAKA,1526,UDUPI,444536,346.823092536071,32,35,590.361165689,5023,0,13234,432480,19119,6096,16574,6206,135.0927,2225.394376289,13206,22067,45429,108427,111,123562,251371,18257,1499.9405106,279503,90,69.05,6.63,99.86,NA
2024-2025,Aug,15,KARNATAKA,1501,BAGALKOTE,2766276,322.958126043931,27,1749,1584.850233131,7874,0,18694,2202597,368659,58428,189509,25816,447.14518,9145.46140863085,80857,136362,152046,334822,113,273743,554900,26568,7113.46599549985,1228049,57,32.9,50.89,99.9,NA
2024-2025,Aug,15,KARNATAKA,1506,BIDAR,2966710,344.961506951946,36,429,3001.062456421,16151,0,46065,3742621,877295,79197,676185,53201,393.75224,16305.416497521,103294,159882,154099,304195,136,254340,477096,62216,12910.6018011,2037815,61,38.62,31.95,99.81,NA
2024-2025,Aug,15,KARNATAKA,1509,CHIKKAMAGALURU,1272583,343.431878660736,35,117,2087.693180156,9783,0,19710,1354236,194992,41594,43232,8283,326.93409,7065.505406456,38364,67923,90360,221839,158,177695,398016,29493,4650.8781363,744740,71,39.22,23.27,99.91,NA
2024-2025,Aug,15,KARNATAKA,1510,CHITRADURGA,2717906,347.413264622836,33,351,3746.496707975,28755,0,32387,3145662,616705,88572,822028,87518,409.47778,15084.421536175,94077,154680,172001,415271,152,332712,782201,61142,10928.4470482,1721053,64,25.61,45.87,101.37,NA
2024-2025,Aug,15,KARNATAKA,1512,DAVANAGERE,1605631,338.882007862381,29,204,2106.962934451,9705,0,13799,1421198,370652,64878,272038,44148,321.92011,7245.06736255099,47856,81204,119403,281158,158,238564,523475,23504,4816.18431809999,767076,76,32.7,40.53,99.95,NA
2024-2025,Aug,15,KARNATAKA,1518,KODAGU,270146,334.561309487196,32,71,185.306237513,2976,1,3838,247112,21931,7066,10725,3743,91.7596,1103.806980613,7558,12543,28115,67323,18,87867,191517,6814,826.741143100001,127567,78,52.5,18.63,99.98,NA
2024-2025,Aug,15,KARNATAKA,1523,RAICHUR,7372385,272.249520087468,38,1016,2372.55774809601,14731,0,34520,8623363,1519128,124118,2048960,153344,504.27552,26353.8976509963,224780,441655,281350,654286,467,371145,833408,49251,23477.0643829003,4521945,54,21.2,63.67,99.91,NA
2024-2025,April,15,KARNATAKA,1502,BENGALURU,4396,352.92735042735,12,1,12.286139673,28,39,2362,2106,570,2579,0,263,0,19.718789673,164,253,5608,12819,0,62378,139912,2390,7.43265,1293,85,26.18,0.51,100,NA
2024-2025,April,15,KARNATAKA,1508,CHAMARAJA NAGARA,165744,342.368240366285,10,102,401.242885475,1579,0,28191,125367,38526,76436,10303,28036,43.53592,873.995597375,11808,17679,111239,262761,0,221943,510295,29770,429.2167919,69551,75,22.9,42.19,100,NA
2024-2025,April,15,KARNATAKA,1518,KODAGU,34665,330.356158933554,14,15,48.97893823,1063,2,4512,29031,3124,6859,1379,3620,20.19617,165.08080473,1961,3109,27135,64947,0,87488,190626,5575,95.9056965,15408,78,39.95,21.94,100,NA
2024-2025,April,15,KARNATAKA,1520,KOPPAL,935740,290.008051977732,11,286,720.711013102,4998,5,30720,218786,43769,94393,25865,78195,34.71448,1389.922509702,18841,34322,216858,556767,0,321874,836167,35718,634.497016600001,118407,56,20.63,55.97,100,NA
2024-2025,April,15,KARNATAKA,1522,MYSURU,133961,343.318164778834,13,25,608.677228762999,4832,7,37794,120950,19047,68375,13419,40370,94.30353,1118.224079063,8656,14647,137841,353406,0,344304,842528,42626,415.2433203,64897,80,23.94,26.35,100,NA
2024-2025,April,15,KARNATAKA,1523,RAICHUR,939106,249.534121451289,14,156,1104.074267363,1038,2,43402,518463,86207,121329,129279,149680,108.76812,2506.584479463,36459,67618,273787,638388,0,364475,820305,44440,1293.7420921,277282,55,8.71,76.58,100,NA
2024-2025,April,15,KARNATAKA,1524,SHIVAMOGGA,299328,300.630197005088,10,85,380.504690514,1058,1,19484,165681,32671,81349,8348,18255,57.95942,936.551227214,15975,24714,142023,363891,0,247116,566340,20542,498.0871167,89179,77,34.61,40.89,99.96,NA
2024-2025,April,15,KARNATAKA,1525,TUMAKURU,270002,347.855804964965,13,73,1928.607109223,4142,5,69891,191381,22931,76316,14000,39188,82.73144,2677.068467323,14406,23740,204700,488141,0,395871,874512,74033,665.7299181,98477,85,40.04,30.46,99.99,NA
2024-2025,April,15,KARNATAKA,1504,BELAGAVI,1202199,297.735163913761,10,903,1542.464119828,2801,3,76629,951964,107016,98327,84589,79453,148.86561,4525.661305628,87522,116104,393923,859888,0,817747,1669965,79430,2834.3315758,596432,52,16.78,39.58,99.99,NA
2024-2025,April,15,KARNATAKA,1509,CHIKKAMAGALURU,147860,323.332747320742,15,40,1032.757161956,2430,0,22317,206867,29101,40833,6876,8112,61.08967,1762.715586356,13339,22966,88581,217893,1,177070,396749,24747,668.8687544,108416,67,31.74,29.48,100,NA
2024-2025,April,15,KARNATAKA,1510,CHITRADURGA,208725,417.431226370217,11,45,2108.888043127,4345,3,35648,193400,37855,86437,45850,84362,0,2916.200034927,16899,25839,167766,405264,0,330321,777156,39993,807.3119918,103715,56,22.22,39.65,100,NA
2024-2025,April,15,KARNATAKA,1518,KODAGU,34665,348.345793117491,15,15,48.97893823,1321,1,4287,34377,3779,6859,1762,3627,20.19617,188.92594153,2238,3569,27164,65019,0,87494,190640,5608,119.7508333,18038,78,41.81,21.49,100,NA
2024-2025,April,15,KARNATAKA,1520,KOPPAL,935740,299.446109786259,12,430,720.711013102,5489,5,30159,316597,62610,94443,38316,78284,34.71448,1703.462893302,25593,46802,217022,557240,0,321914,836346,35648,948.037400200004,171603,56,17.42,63.53,100,NA
2024-2025,April,15,KARNATAKA,1527,UTTARA KANNADA,151973,308.899885450915,12,27,330.792963925,842,0,23537,133218,6327,14093,4353,7709,37.92662,780.229833325,10714,16811,83918,210439,0,203446,449543,24379,411.5102494,73367,76,27.57,29.47,99.97,NA
2024-2025,April,15,KARNATAKA,1529,RAMANAGARA,233066,377.412026290223,13,23,1321.154745961,7731,1,36179,100874,16463,50296,1604,5175,12.185,1714.050353361,7394,11310,139519,312329,0,200496,430752,43910,380.7106074,53851,81,23.98,20.27,99.99,NA
2024-2025,April,15,KARNATAKA,1530,Yadgir,268548,303.922704583988,8,105,191.520455299,6024,4,29922,162195,32249,63509,18009,35003,0,684.467885999,19024,27115,149446,295146,0,270028,534539,35946,492.9474307,91566,78,24.71,69.77,99.99,NA
2024-2025,April,15,KARNATAKA,1511,DAKSHINA KANNADA,129036,332.713912097333,16,6,194.718668663,1963,1,13309,60658,3442,9968,3686,10001,2.41749,398.953763463,3659,5810,61644,143657,0,168827,354555,15272,201.8176048,31955,89,71.4,2.13,99.94,NA
2024-2025,April,15,KARNATAKA,1512,DAVANAGERE,284425,342.350011151997,12,81,1051.430684746,2456,0,18085,239419,58738,62205,44026,42703,13.407,1884.488657946,18950,30545,115633,272093,0,236956,519353,20541,819.6509732,127360,77,34.33,36.66,100,NA
2024-2025,April,15,KARNATAKA,1515,KALABURAGI,756767,311.578261996786,8,127,968.155242886001,3028,7,41229,376455,97538,135752,8141,10576,31.65045,2172.757639086,42068,65320,238568,523451,0,421460,880559,44257,1172.9519462,224049,61,10.74,74.9,100,NA
2024-2025,April,15,KARNATAKA,1516,HASSAN,282284,347.192345626329,14,45,766.460850166999,2065,3,27524,133572,21054,66813,1969,6662,117.92067,1348.133280067,9322,15716,157544,389354,0,279318,645705,29589,463.7517599,68651,73,43.41,21.66,99.98,NA
2024-2025,April,15,KARNATAKA,1519,KOLAR,265240,334.837283252438,13,111,690.104837319,572,0,31829,291941,74995,84082,17151,21629,5.6717,1673.303850419,21861,31962,124909,314110,0,238534,576962,32401,977.5273131,156208,61,31.23,37.44,99.99,NA
2024-2025,April,15,KARNATAKA,1522,MYSURU,133961,340.086281520074,14,27,608.677228762999,5488,2,37318,163150,25985,68475,18736,40438,94.30353,1257.831527063,10933,18615,138000,353804,0,344342,842609,42806,554.8507683,87083,80,23.25,28.15,99.99,NA
2024-2025,April,15,KARNATAKA,1524,SHIVAMOGGA,299328,302.912100174138,10,127,380.504690514,1231,0,19432,234871,50223,81503,11971,18273,57.95942,1149.916789314,21382,33276,142153,364346,0,247145,566579,20663,711.4526788,127698,77,33.05,44.37,99.97,NA
2024-2025,May,15,KARNATAKA,1514,GADAG,1139296,305.007430284649,16,612,614.689655517001,4668,1,16100,863870,125747,55476,76915,25646,85.14004,3334.697383517,53400,110000,120259,307147,0,164327,393162,20768,2634.867688,417351,63,13.81,80.52,99.84,NA
2024-2025,May,15,KARNATAKA,1517,HAVERI,789930,313.957474889418,15,169,1180.320628616,8054,0,32717,438361,59828,52800,59177,42728,0,2556.587755116,28374,49637,149791,365760,0,270876,617000,40771,1376.2671265,214992,67,33.97,42.92,100.02,NA
2024-2025,May,15,KARNATAKA,1522,MYSURU,317805,341.241823783679,15,29,608.677228762999,5685,2,37275,186464,29673,68525,21783,40474,94.30353,1339.273913063,12258,20808,138105,354079,0,344384,842683,42960,636.2931543,99685,80,24.54,27.5,99.91,NA
2024-2025,May,15,KARNATAKA,1525,TUMAKURU,608298,345.539313245445,14,100,1928.607109223,5234,0,67826,312062,40834,76380,23524,39217,82.73144,3089.635440923,21200,34678,204811,488437,0,395898,874571,73060,1078.2968917,160470,84,36.87,35.17,99.85,NA
2024-2025,May,15,KARNATAKA,1529,RAMANAGARA,592865,345.337520995557,14,35,1321.154745961,7969,1,36118,153723,22661,50262,2460,5173,12.185,1864.202943361,10953,16608,139511,312151,0,200450,430486,44087,530.8631974,82071,82,21.02,22.48,99.91,NA
2024-2025,May,15,KARNATAKA,1504,BELAGAVI,2874902,315.063374950339,14,1264,1542.464119828,3647,0,76502,1636110,179180,98759,153827,79704,148.86561,6846.11311372799,116449,158087,395120,862770,6,817825,1670492,80149,5154.78338389999,1015116,52,17.19,41.19,99.81,NA
