fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Nov,15,KARNATAKA,1531,VIJAYANAGARA,6049984,308.15535264524,43,1235,5354.95455471801,16746,0,17284,5718651,1382698,115143,1287365,93599,81.19368,23058.4773903186,130014,249633,174330,460452,1438,250683,646542,34030,17622.3291556006,2966402,54,14.86,63.19,100.19,NA
2024-2025,Nov,15,KARNATAKA,1506,BIDAR,3809246,344.917465174102,40,482,8312.289984336,23032,0,44517,4495792,1044555,79179,816068,53263,519.57184,24338.6336302361,109682,170882,155699,305422,343,256238,478655,67549,15506.7718059001,2444195,60,36.87,26.76,99.83,NA
2024-2025,Nov,15,KARNATAKA,1511,DAKSHINA KANNADA,1081782,346.558635037422,41,48,970.239300454999,10701,0,11404,796183,41085,10605,46428,10638,292.26749,4021.747727655,18997,32351,65625,152607,226,170267,357942,22105,2759.2409372,414751,90,72.2,3.5,99.98,NA
2024-2025,Nov,15,KARNATAKA,1512,DAVANAGERE,2474082,339.910052247329,32,234,4115.274031848,14213,0,10691,1715303,434669,64739,308649,43999,490.73691,10436.498265348,52251,89358,120026,280979,278,238711,522171,24904,5830.4873235,910821,76,36.53,33.76,99.92,NA
2024-2025,Nov,15,KARNATAKA,1522,MYSURU,1838324,347.342277357097,35,129,4292.55469729903,24597,0,26012,1623957,292896,70898,193377,42195,385.57388,10318.817804399,45363,80411,143077,366024,370,347121,847697,50609,5640.6892271,833141,80,38.32,20.71,100.09,NA
2024-2025,Nov,15,KARNATAKA,1523,RAICHUR,8621065,275.6713758327,41,1049,5692.82580486601,22338,0,31810,9516048,1693014,124803,2277075,153990,815.49414,32741.3403913662,231303,453403,282602,657091,714,372683,836601,54148,26233.0204465001,4972027,57,23.67,58.15,99.83,NA
2024-2025,Nov,15,KARNATAKA,1531,VIJAYANAGARA,6049984,308.523739333537,44,1238,5352.60127947001,17105,0,17061,5752370,1389676,115159,1293959,93602,81.19368,23181.2219837706,130368,250427,174380,460521,1451,250752,646645,34166,17747.4270243006,2981930,55,15.12,62.83,100.19,NA
2024-2025,Nov,15,KARNATAKA,1501,BAGALKOTE,3871406,320.659616187714,33,1931,2852.603132971,11425,0,16953,2985548,501865,59140,236869,26080,627.94363,13053.993520871,89176,151742,153626,338524,461,274880,557527,28378,9573.44675789998,1651933,58,32.13,48.24,100.02,NA
2024-2025,Nov,15,KARNATAKA,1508,CHAMARAJA NAGARA,1983447,346.658386132756,32,406,2799.973178584,17839,0,17457,1769811,540357,79830,157852,29485,260.57194,9195.74336878398,54284,85891,116427,274680,138,223829,513916,35296,6135.19825019998,1012086,75,22.78,48.72,100.5,NA
2024-2025,Nov,15,KARNATAKA,1511,DAKSHINA KANNADA,1081782,346.159847871951,42,48,976.290556154999,10996,0,11286,814314,42009,10627,47288,10647,292.26749,4087.386149755,19277,32865,65718,152812,238,170330,358056,22282,2818.8281036,423690,90,72.24,3.58,99.98,NA
2024-2025,Nov,15,KARNATAKA,1512,DAVANAGERE,2474082,339.443913328975,33,235,4127.885147248,14422,0,10600,1739151,440152,64769,311487,44021,548.88218,10580.209540348,52583,90005,120093,281150,289,238748,522273,25022,5903.4422131,922710,76,37,32.91,99.92,NA
2024-2025,Nov,15,KARNATAKA,1520,KOPPAL,6380429,307.337604732116,34,3244,3710.38983814201,19000,0,25246,6231374,1084982,98069,919972,80374,790.18455,23651.9299816418,178711,370384,224379,576829,399,325331,844415,44246,19151.3555934998,3279082,58,28.98,56.89,99.89,NA
2024-2025,Nov,15,KARNATAKA,1522,MYSURU,1838324,346.1714988132,36,131,4305.21969729903,25068,0,25805,1657398,299397,70965,196532,42238,385.57388,10428.233075199,45846,81268,143223,366389,378,347241,847887,50873,5737.4394979,849998,80,38.09,20.29,100.09,NA
2024-2025,Nov,15,KARNATAKA,1529,RAMANAGARA,3278590,349.051843215912,43,261,6622.79465234797,30759,1,26226,2744003,389984,50437,43154,5251,460.70689,16661.4945917479,63741,104554,141208,313202,385,201242,429318,56985,9577.99304939991,1469459,82,43.6,26.28,99.93,NA
2024-2025,Nov,15,KARNATAKA,1531,VIJAYANAGARA,6049984,308.586914472706,44,1239,5376.45555907001,17185,0,17096,5769257,1392838,115174,1297152,93612,81.19368,23260.8214033706,130492,250710,174415,460599,1465,250792,646724,34281,17803.1721643006,2990134,55,15.22,62.18,100.19,NA
2024-2025,July,15,KARNATAKA,1502,BENGALURU,31995,313.608445573503,25,9,22.009809773,450,4,2159,20863,4468,2663,306,267,21.60784,109.045779773,821,1370,5828,13356,2,62627,140424,2609,65.42813,11975,85,43.96,23.95,99.94,NA
2024-2025,July,15,KARNATAKA,1505,BALLARI,4853022,279.951506039659,47,2010,800.461429938,2358,0,14676,4765419,941677,69980,1488451,98132,258.18544,14399.5091295381,99407,214682,115629,333719,531,169498,479431,17034,13340.8622596001,2586995,42,36.64,36.65,99.91,NA
2024-2025,July,15,KARNATAKA,1506,BIDAR,2610102,344.208654376804,33,419,2756.74482354501,14508,0,45299,3390979,802474,78860,615855,53012,315.90749,14744.695499645,100096,154480,153280,302602,100,253407,475303,59807,11672.0431861,1848387,61,40.57,35.96,99.67,NA
2024-2025,July,15,KARNATAKA,1511,DAKSHINA KANNADA,595856,345.39152219841,33,36,326.667790632,6190,0,12745,460078,24177,10356,26917,10381,155.03569,2070.773888132,13643,22802,63960,149183,67,169749,356923,18935,1589.0704075,242189,90,71.32,2.14,99.95,NA
2024-2025,July,15,KARNATAKA,1517,HAVERI,2112164,335.478133987833,34,401,1478.782977546,14861,0,29302,2394904,348418,54650,331198,43987,202.96561,9716.12783754598,69340,127516,153395,375470,209,272342,621745,44163,8034.37924999997,1182950,67,33.39,47.96,100.09,NA
2024-2025,July,15,KARNATAKA,1527,UTTARA KANNADA,788567,344.661188572478,26,93,628.070192997,5052,0,22678,795063,46905,14601,30576,7954,193.0934,3561.437178697,30526,50461,86760,217988,24,204096,451818,27730,2740.2735857,433881,78,30.25,31.23,99.99,NA
2024-2025,July,15,KARNATAKA,1501,BAGALKOTE,2355461,317.379882167875,25,1657,1436.587183335,7177,0,18864,1969412,319775,58089,168092,25756,324.88923,8011.99389833499,77011,129272,151508,333452,65,273197,553600,26041,6250.51748499999,1103491,56,32.72,51.83,99.88,NA
2024-2025,July,15,KARNATAKA,1505,BALLARI,4853022,279.639453012546,48,2011,800.461429938,2422,0,14655,4791481,945540,69932,1499765,98073,258.18544,14457.5181295381,99510,214948,115660,333581,551,169517,479241,17077,13398.8712596001,2600558,42,36.8,36.33,99.91,NA
